name,ticker,operationType,date,isMarginCall,instrumentType,figi,payment,currency,status,id,quantity,quantityExecuted,price
Mechel AP,MTLRP,Dividend,2021-07-30,,Stock,MTLRP,2952,RUB,,,,,
Etalon Group,ETLN,Buy,2021-07-30,,Stock,ETLN,-2861.48,RUB,,,23,23,124.4121739
Etalon Group,ETLN,Sell,2021-08-18,,Stock,ETLN,46616.72,RUB,,,392,392,118.9202041
Samolyot,SMLT,Buy,2021-08-18,,Stock,SMLT,-43648.05,RUB,,,13,13,3357.542308
Samolyot,SMLT,Sell,2021-08-20,,Stock,SMLT,42306.28,RUB,,,13,13,3254.329231
Nefaz,NFAZ,Sell,2021-08-20,,Stock,NFAZ,354626.54,RUB,,,1050,1050,337.7395619
Mechel AP,MTLRP,Buy,2021-08-20,,Stock,MTLRP,-398602.13,RUB,,,2590,2590,153.9004363
UC RUSAL,RUAL,Buy,2021-09-10,,Stock,RUAL,-724.65,RUB,,,10,10,72.465
,,PayIn,2021-09-16,,Currency,,150000,RUB,,,,,
Mechel AP,MTLRP,Buy,2021-09-16,,Stock,MTLRP,-2647.38,RUB,,,10,10,264.738
Globaltrans,GLTR,Buy,2021-09-16,,Stock,GLTR,-56901.17,RUB,,,100,100,569.0117
UC RUSAL,RUAL,Sell,2021-09-16,,Stock,RUAL,70873.56,RUB,,,1010,1010,70.17184158
Yatek,YAKG,Buy,2021-09-16,,Stock,YAKG,-157736,RUB,,,1000,1000,157.736
,,PayIn,2021-09-22,,Currency,,250000,RUB,,,,,
Yatek,YAKG,Buy,2021-09-22,,Stock,YAKG,-31203.06,RUB,,,250,250,124.81224
Globaltrans,GLTR,Buy,2021-09-22,,Stock,GLTR,-220998.72,RUB,,,400,400,552.4968
Globaltrans,GLTR,Dividend,2021-09-27,,Stock,GLTR,30000,RUB,,,,,30000
Mechel AP,MTLRP,Buy,2021-09-27,,Stock,MTLRP,-24841.34,RUB,,,100,100,248.4134
Yatek,YAKG,Buy,2021-09-27,,Stock,YAKG,-6182.06,RUB,,,50,50,123.6412
Mechel AP,MTLRP,Buy,2021-10-04,,Stock,MTLRP,-27214.04,RUB,,,100,100,272.1404
